"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"CANT1",2929.93885485245,-1.00184981038722,0.253306978881444,-3.95508175420668,7.65084845608545e-05,0.00687589539361873,"FDR<0.05"
"CANX",47380.4814870956,-0.236763841737689,0.258913106645844,-0.914452901998309,0.360478915011858,0.696408942699569,"Not Sig"
"CAP1",22181.9428815665,0.573196702666245,0.297132561693432,1.92909420428194,0.0537191683794496,0.29910515435946,"Not Sig"
"CAP2",779.284937162222,-0.68770213132282,0.818482288275747,-0.8402162651211,0.400787140358729,0.72654523137574,"Not Sig"
"CAPG",1418.23794065128,-0.897762460772042,0.421612883461065,-2.12935253164518,0.0332251046193981,0.230493759011499,"Not Sig"
"CAPN1",5679.82599222403,-0.188205256308805,0.148523222379845,-1.26717730260036,0.205091899664201,0.555562090765862,"Not Sig"
"CAPN10",366.143826296345,0.292461842688864,0.295947989963405,0.988220405636231,0.323044716627961,0.666768909256575,"Not Sig"
"CAPN11",29.4525653809346,1.29275349835246,0.774437838104271,1.66927987598974,0.0950619265133847,0.391658752616234,"Not Sig"
"CAPN12",15.1195823918819,-0.200962269327343,0.635785760978061,-0.316084885289335,0.751938078862824,0.91485347008789,"Not Sig"
"CAPN13",1.37977437258342,1.67902721047887,2.82118864410545,0.595148861805821,0.551743969729813,0.817872079648238,"Not Sig"
"CAPN14",2.49988759218106,-1.11697357417997,0.961066813696715,-1.16222260332095,0.245145055494417,0.599823522733788,"Not Sig"
"CAPN15",1177.46512726742,-0.305892263829346,0.28029568346285,-1.09131992348319,0.275132133969218,0.625753218486874,"Not Sig"
"CAPN2",12036.4712695773,-0.028955689704969,0.262706695783552,-0.110220600272884,0.912234425154826,0.973402105766056,"Not Sig"
"CAPN3",242.921548396703,0.59459153731184,0.626497156358184,0.949073002610562,0.342583484177706,0.683128385846325,"Not Sig"
"CAPN5",3524.37200057107,0.862609933787785,0.677641746388007,1.2729586664129,0.203032709529296,0.553589107168679,"Not Sig"
"CAPN6",7843.02600840585,0.520101972629466,0.811747879597168,0.64071860943766,0.521705521219534,0.800256746761018,"Not Sig"
"CAPN7",2231.23574590674,0.275373133225864,0.153418895842444,1.79491014919482,0.0726680166460778,0.345178057694291,"Not Sig"
"CAPN8",4.55480240686289,1.31754675933821,0.618712733119222,2.12949675804446,0.0332131828239688,0.230493759011499,"Not Sig"
"CAPN9",13.933917240124,3.09697572741774,1.24116394092964,2.49521890323215,0.0125879447054344,0.141954743940458,"Not Sig"
"CAPNS1",9654.09949203455,0.24137790592066,0.213328121090317,1.1314865789235,0.257850349139833,0.60972989108332,"Not Sig"
"CAPNS2",3.21610078123573,-0.761227237972781,0.676609128380097,-1.12506202775489,0.260562750725392,0.611740256118065,"Not Sig"
"CAPRIN1",20249.517658963,0.858428282116484,0.393025524024439,2.18415402981081,0.0289509315969469,0.213844840878781,"Not Sig"
"CAPRIN2",473.669064339889,-0.453251975536093,0.310427456341478,-1.46008984152969,0.144265384126932,0.479224308298323,"Not Sig"
"CAPS",2600.14163995747,1.33049374314911,0.819430036972559,1.62368192904511,0.104443709728883,0.409112501860051,"Not Sig"
"CAPS2",99.9693039236509,0.589174968565378,0.471390524633737,1.24986595567053,0.211348517584424,0.562633060250471,"Not Sig"
"CAPSL",1.33897362169159,0.0396423041939673,1.70257468775755,0.0232837387275973,0.981423942813999,0.995320414299634,"Not Sig"
"CAPZA1",7873.90641924325,0.184452953562303,0.279764997400454,0.659313907301556,0.509694213634194,0.793806589669626,"Not Sig"
"CAPZA2",4586.6140371603,0.134983747799165,0.231068050950481,0.584173135333595,0.559103833894604,0.82274293295333,"Not Sig"
"CAPZB",9811.53683069245,-0.0030356457039107,0.206979323202446,-0.0146664200894189,0.98829830936308,0.997569555943558,"Not Sig"
"CARD10",551.861682136197,-0.111076297618904,0.626486943594356,-0.177300259414224,0.859272547039225,0.95745286117073,"Not Sig"
"CARD11",1327.47949445203,2.21606413788827,0.84643904843725,2.61810243983865,0.00884202566171584,0.11843804543626,"Not Sig"
"CARD14",11.0418685828021,-0.590225035843035,1.05352473695338,-0.560238421690857,0.575316823128502,0.831662732759491,"Not Sig"
"CARD16",526.459928715331,0.471826281081931,0.442716114395471,1.06575357376862,0.286535052750878,0.636161402501726,"Not Sig"
"CARD18",0.434533614600401,1.02341003248837,2.17873754747644,0.469726164894782,0.638550671822032,NA,NA
"CARD19",255.57701785937,-0.367462536999753,0.359536178452799,-1.02204606663247,0.306759097749432,0.653763118319305,"Not Sig"
"CARD6",1117.84524259001,0.48904294939564,0.445819334436008,1.09695320866762,0.272661847109378,0.623489155138107,"Not Sig"
"CARD8",1269.20423164442,0.22996832815637,0.271806734465785,0.846072959186808,0.397512044601706,0.723844841196065,"Not Sig"
"CARD9",193.815773837014,0.326738422358299,0.850815533299788,0.384029686307069,0.700956444893596,0.893884676905484,"Not Sig"
"CARF",785.876527184701,0.712306654838029,0.281684593297152,2.52873842513143,0.0114473305884839,0.134702363265574,"Not Sig"
"CARHSP1",2198.4973079635,0.34148849975436,0.217094980619531,1.5729912261437,0.115720849820549,0.431610353278721,"Not Sig"
"CARM1",2824.40798656027,-0.461297750751441,0.220839096404186,-2.08884096277572,0.0367220416723585,0.244554984192853,"Not Sig"
"CARMIL1",1062.77966049,-0.238101956336821,0.277775316193993,-0.857174638838445,0.391348376287805,0.719401994505942,"Not Sig"
"CARMIL2",141.387987261419,-1.75450437099328,0.571991221218302,-3.06736241031165,0.00215956854272682,0.0529780707188596,"Not Sig"
"CARMIL3",30.998795517681,-0.129304121631729,0.544576771580529,-0.23743965659139,0.812315727682762,0.940625901420835,"Not Sig"
"CARNMT1",956.772434478716,-0.0949968654317571,0.216130303634947,-0.439535150018623,0.660273818529023,0.875365312571788,"Not Sig"
"CARNS1",88.9132018749151,-0.0770880199061399,0.472229502477022,-0.163242701910372,0.870327345851861,0.960419537865644,"Not Sig"
"CARS",1923.85717320312,-0.54339109531043,0.30813710136576,-1.76347182115347,0.0778209458311649,0.35446361487294,"Not Sig"
"CARS2",1307.30683390362,0.567191113912917,0.377620324309771,1.50201426512106,0.133093424776074,0.461263059094672,"Not Sig"
"CASC1",41.7413483117065,1.43784993572903,0.520131999510628,2.76439430198843,0.00570285799021536,0.0953162688284469,"Not Sig"
